EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
5581691,IOWA,1996,December,Cold/Wind Chill,Z,PAGE,0,0,0,0,,,
5581692,NEBRASKA,1996,December,Winter Storm,Z,KNOX,0,0,0,0,,,
5582563,NEW HAMPSHIRE,1996,December,Winter Storm,Z,NORTHERN GRAFTON,0,0,0,0,,,
5563218,KANSAS,1996,September,Hail,C,CHEYENNE,0,0,0,0,,,
5576268,PENNSYLVANIA,1996,November,Winter Weather,Z,BUCKS,0,0,0,0,,,
5578946,ILLINOIS,1996,November,Winter Storm,Z,DOUGLAS,0,0,0,0,,,
5579088,SOUTH DAKOTA,1996,November,Heavy Snow,Z,CORSON,0,0,0,0,,,
5573340,MICHIGAN,1996,October,High Wind,Z,MONROE,0,0,0,0,25K,,
5573342,OHIO,1996,October,High Wind,Z,RICHLAND,0,0,0,0,75K,.1M,
5573343,OHIO,1996,October,High Wind,Z,ASHLAND,0,0,0,0,75K,.1M,
5573344,OHIO,1996,October,High Wind,Z,WAYNE,0,0,0,0,.2M,.1M,
5583752,NEW YORK,1996,July,Flash Flood,C,NEW YORK,0,0,0,0,,,
5583908,NEW YORK,1996,July,Thunderstorm Wind,C,PUTNAM,0,0,0,0,,,
